IDGOL,MINUTO,FK_DETALLE_PARTIDO,IDJUGADOR
1,11,1,6
2,29,1,10
3,71,1,10
4,91,1,37
5,61,2,65
6,27,3,106
7,44,3,124
8,53,3,126
9,65,3,118
10,72,3,124
11,80,3,126
12,12,4,145
13,14,4,148
14,35,4,165
15,92,4,153
16,5,5,191
17,58,5,193
18,93,5,194
19,16,6,257
20,64,6,242
21,66,6,240
22,24,7,297
23,54,7,308
24,57,7,305
25,84,7,320
26,35,8,353
27,37,8,331
28,50,8,354
29,22,9,404
30,48,9,386
31,93,9,377
32,45,10,433
33,48,10,455
34,72,10,433
35,3,11,488
36,65,11,470
37,85,11,492
38,12,13,565
39,32,13,557
40,46,13,557
41,78,13,557
42,1,14,629
43,82,14,608
44,86,14,627
45,25,15,667
46,70,15,652
47,80,15,658
48,68,16,724
49,74,16,701
50,11,18,41
51,48,18,27
52,61,18,40
53,73,18,40
54,20,19,149
55,43,19,158
56,20,20,126
57,21,20,165
58,54,20,176
59,58,20,124
60,68,20,136
61,64,21,288
62,70,21,204
63,73,21,240
64,39,23,285
65,75,23,332
66,85,23,285
67,44,24,309
68,17,25,434
69,18,25,428
70,40,25,432
71,67,25,433
72,73,25,431
73,81,25,383
74,87,25,378
75,31,26,450
76,34,26,404
77,65,26,404
78,91,27,470
79,29,28,537
80,51,29,571
81,54,29,608
82,63,29,601
83,71,29,563
84,5,30,592
85,64,30,338
86,81,30,629
87,95,30,593
88,88,31,661
89,26,32,680
90,28,32,672
91,38,32,685
92,50,32,722
93,62,32,678
94,72,32,726
95,17,33,10
96,26,33,90
97,35,33,10
98,49,33,9
99,84,33,5
100,72,34,50
101,75,34,64
102,82,34,60
103,87,34,27
104,36,35,99
105,69,35,97
106,82,35,105
107,77,36,133
108,92,36,136
109,17,37,195
110,46,37,262
111,55,37,205
112,82,37,205
113,90,37,194
114,42,38,229
115,74,38,242
116,93,38,229
117,81,39,279
118,6,41,391
119,31,41,391
120,71,41,391
121,3,43,470
122,4,43,536
123,46,43,470
124,47,43,536
125,50,43,476
126,23,44,494
127,59,44,491
128,82,44,522
129,83,44,485
130,55,45,565
131,31,46,619
132,57,46,601
133,80,46,582
134,78,47,649
135,6,48,699
136,60,48,680
